"PRA","Payment Request Api"
"Enable PRA","Enable Payment Request Api"
"Redirect to success page","Redirect to success page"
"Buy now","Buy now"
"Would you like to buy other items from cart as well?","Would you like to buy other items from cart as well?"
"An error occurred while buying. Please review the log and try again.","An error occurred while buying. Please review the log and try again."
"Wrong data provided","Wrong data provided"
"Card number is required","Card number is required"
"Card number is not valid","Card number is not valid"
"Grand Total","Grand Total"
"%s handling fee","%s handling fee"
"Shipping methods not available","Shipping methods not available"